domain,length,entropy,label
kc97hq4tmxdnhp1uakrhzp.top,22,4.0614821867207755,dga
cobibadu.info,8,2.75,legit
ju6ojdz26fo1szjivf.xyz,18,3.4613201402110083,dga
cifecu.info,6,2.2516291673878226,legit
8ep89fv78fqq.top,12,2.8553885422075336,dga
bucibu.info,6,1.9182958340544896,legit
dema.com,4,2.0,legit
yinzdozl9e34uzykd.top,17,3.572469458770135,dga
budi.net,4,2.0,legit
etp99jpkux.xyz,10,2.9219280948873623,dga
31z4pqxv4ztco.info,13,3.3927474104487847,dga
lobebi.org,6,2.2516291673878226,legit
moledido.net,8,2.5,legit
g7rq8lyyxe7q.site,12,3.084962500721156,dga
h03ps37vnz88gys8bqs.info,19,3.6421498816369042,dga
domamabe.net,8,2.5,legit
cifubabumu.info,10,2.6464393446710157,legit
felilifaci.net,10,2.4464393446710155,legit
tyejodbjwgihn3vzw7.info,18,3.94770277922009,dga
p2nqgz48gj3.info,11,3.2776134368191157,dga
fudicufo.com,8,2.5,legit
balidadeba.net,10,2.4464393446710155,legit
modululeco.info,10,2.721928094887362,legit
2kiw1awmhmsciz0vckm4r.info,21,3.7849418274376427,dga
bolifemo.com,8,2.75,legit
8bw8ohirrfkd.site,12,3.2516291673878226,dga
bcdrz01gtvb.site,11,3.2776134368191157,dga
dufelacala.info,10,2.6464393446710157,legit
fime.com,4,2.0,legit
mabifama.org,8,2.1556390622295662,legit
bobifimedi.info,10,2.6464393446710157,legit
2dwa5imy96505025kfboscr.top,23,4.001822825622231,dga
cubadubu.info,8,2.1556390622295662,legit
64tjipurntdt.xyz,12,3.188721875540867,dga
culilucu.com,8,1.9056390622295665,legit
bela.info,4,2.0,legit
5121rugy1mw.info,11,3.0271691184406184,dga
dedade.info,6,1.4591479170272448,legit
bedofibo.org,8,2.5,legit
cobelo.info,6,2.2516291673878226,legit
mudo.info,4,2.0,legit
cucemofuco.net,10,2.4464393446710155,legit
cumamomuba.net,10,2.4464393446710155,legit
mocifucabo.org,10,2.9219280948873623,legit
gvf6lcp227.info,10,3.1219280948873624,dga
2fc1uqbfobrcl472.top,16,3.5,dga
r3vt8ut465.info,10,3.1219280948873624,dga
boladu.org,6,2.584962500721156,legit
0du60282rtki5v6vr8v1x.info,21,3.6897037321995474,dga
dezx6kbj2ciepxxycj2x.xyz,20,3.521928094887363,dga
mofe.info,4,2.0,legit
l4i7t40v2ashjd.top,14,3.6644977792004614,dga
bucucacimi.info,10,2.4464393446710155,legit
r191eefqw4z6pihbkf.top,18,3.8365916681089787,dga
bufufobi.net,8,2.25,legit
pd7253iq3ixq.top,12,3.084962500721156,dga
lomamofoci.net,10,2.6464393446710157,legit
demuda.org,6,2.2516291673878226,legit
6rinmstxobaz53y.info,15,3.906890595608519,dga
celi.info,4,2.0,legit
fimofa.net,6,2.2516291673878226,legit
dibomu.com,6,2.584962500721156,legit
coco.com,4,1.0,legit
cemucu.org,6,1.9182958340544896,legit
modi.org,4,2.0,legit
febucu.info,6,2.2516291673878226,legit
luludi.info,6,1.9182958340544896,legit
cudu.net,4,1.5,legit
39c2mu46jd2.xyz,11,3.2776134368191157,dga
fumomemu.com,8,2.1556390622295662,legit
5by1lwnlrr2jcps5094.info,19,3.9321380397593746,dga
l6k9uradf577lkq2pfi0ey.xyz,22,4.095795255000934,dga
kkisdxd20q83g45uq0g.info,19,3.721611723969901,dga
7fhjzzgkexmvmzho15rr.info,20,3.784183719779189,dga
difi.net,4,1.5,legit
dafelabume.com,10,2.9219280948873623,legit
gsfuo2cp9jrb5oopo2nj.info,20,3.6219280948873624,dga
wld4aibqk1kae5.site,14,3.521640636343318,dga
9wfn7xtsu23bjkw10bs.top,19,3.9321380397593746,dga
lfi7gxhgqvuhlnf.site,15,3.3735572622751855,dga
q7wi5755losmahb3.top,16,3.577819531114783,dga
wf4i64xly54ikmoc0.info,17,3.6901165175936645,dga
celu.org,4,2.0,legit
muwbtkw2j2comxj.site,15,3.3735572622751855,dga
zg0oa3y31gvb37vmggaemi.info,22,3.6069367321753214,dga
modibocoma.info,10,2.6464393446710157,legit
rvv0efqcsi780c.info,14,3.3787834934861753,dga
fucadobela.info,10,3.1219280948873624,legit
vk78m4wbvy1g6zn.top,15,3.773557262275186,dga
qk1ebp7qjl4nzi3nldllj4.info,22,3.73215889136457,dga
mofadubi.com,8,3.0,legit
bumu.net,4,1.5,legit
q8ffpg3yvp4cut92.site,16,3.75,dga
didefe.net,6,1.9182958340544896,legit
884jxzosi36.top,11,3.2776134368191157,dga
lucaduce.info,8,2.5,legit
om6b1ipxqzyi.top,12,3.4182958340544896,dga
vr96t2hl5au64.info,13,3.546593564294939,dga
midubo.com,6,2.584962500721156,legit
tigy6tkects.site,11,3.0271691184406184,dga
vdh6dn7j95iojt.site,14,3.521640636343318,dga
bifufobi.info,8,2.25,legit
fama.info,4,1.5,legit
kkuow7sfqm9rit8f.top,16,3.75,dga
mababudafa.net,10,2.321928094887362,legit
cidodicu.net,8,2.25,legit
sc5z565od7b1u9.xyz,14,3.4677201004744993,dga
cocu.info,4,1.5,legit
fumo.info,4,2.0,legit
4unxu0cojbq90sjmvoyp5.top,21,4.011365041826379,dga
an9xdpycvuk6tisfc4tdi.top,21,4.011365041826379,dga
ledelodo.info,8,2.0,legit
1mle4scboed.xyz,11,3.2776134368191157,dga
xbjq3jqpkahfyzf7m1k1q.site,21,3.7849418274376427,dga
cabifa.info,6,2.2516291673878226,legit
cs0no39yhm.top,10,3.3219280948873626,dga
lofu.org,4,2.0,legit
lomofido.com,8,2.4056390622295662,legit
dodale.com,6,2.2516291673878226,legit
k2u0crf540v1gkq6ew09u3b.xyz,23,4.1429146733542535,dga
r05y0i0lpuyaxoaiy.top,17,3.29277019393699,dga
cici.net,4,1.0,legit
dide.net,4,1.5,legit
8a170xc71o4y.top,12,3.2516291673878226,dga
bodo.org,4,1.5,legit
8sdziza373dfdrgvgs4.site,19,3.5766176449086657,dga
sck8etfzhi9r1n6u.xyz,16,4.0,dga
femi.org,4,2.0,legit
cefobuledi.net,10,3.1219280948873624,legit
bufa.info,4,2.0,legit
e5wd1f2afuxequ.info,14,3.3787834934861753,dga
cedacefu.org,8,2.5,legit
69jgc3wjiqxpoqtfz.top,17,3.85216872360328,dga
sri2aofja5nv0.info,13,3.546593564294939,dga
cumocofe.net,8,2.5,legit
fabe.info,4,2.0,legit
lidemifu.org,8,2.75,legit
co5oeqxocn7xy43ccu.top,18,3.350209029099897,dga
bodocubu.info,8,2.25,legit
2bc8htsgwl7kg5mjv39y.info,20,4.221928094887363,dga
yj3eunglnqvwd169.top,16,3.875,dga
fadolo.net,6,2.2516291673878226,legit
7g4o2th83jevrcyqh31k.top,20,4.1219280948873624,dga
89mcv4t89p4qg.xyz,13,3.238901256602631,dga
b7g6z5ckstbopcrhyz.xyz,18,3.8365916681089787,dga
bibu.net,4,1.5,legit
4hr7bj0ojw5bp1xnfmy.xyz,19,4.037401197654112,dga
m5srf2fu6hbi.info,12,3.4182958340544896,dga
nom2pznt1ykxq9fif.site,17,3.85216872360328,dga
bacudi.org,6,2.584962500721156,legit
3xcftuxye19es4ih.site,16,3.75,dga
j0tc2dnb68.xyz,10,3.3219280948873626,dga
dafu.info,4,2.0,legit
3wsha5j3j7s9kt5.site,15,3.3735572622751855,dga
femoce.com,6,2.2516291673878226,legit
vtzdfx8vf3sml9cymt.info,18,3.7254805569978675,dga
damofalu.net,8,2.75,legit
9r1zvl2vkmmi.top,12,3.2516291673878226,dga
9mx9sey629rhigzxv9x.top,19,3.5766176449086657,dga
yevq6b9vgmngo8ccr8okef.top,22,3.913977073182752,dga
jdxa1fs4mgbnksf4htz45.xyz,21,3.9754180179138334,dga
yx0jsiiaebj5.top,12,3.2516291673878226,dga
cedudabubo.org,10,2.721928094887362,legit
cicude.com,6,2.2516291673878226,legit
n81ejb3vcfedlq.site,14,3.6644977792004614,dga
bama.info,4,1.5,legit
lima.info,4,2.0,legit
gyjkwp0r88i.top,11,3.2776134368191157,dga
7z4kwj6u7xy5k74l4yaevot.top,23,3.936180434129755,dga
lole.info,4,1.5,legit
koybjss1xr133jcwe2.site,18,3.7254805569978675,dga
hsdq8mpk0htutnd.info,15,3.506890595608519,dga
nvgfygwwqc38hyf9sxme.site,20,3.9219280948873627,dga
cebemi.org,6,2.2516291673878226,legit
uh5gllj5yqpo93l.site,15,3.456564762130954,dga
bibi.info,4,1.0,legit
x7matvgxq6a.site,11,3.095795255000934,dga
38r92i8l3178.info,12,3.0220552088742005,dga
fafaba.net,6,1.4591479170272448,legit
u9daqm2ox8.site,10,3.3219280948873626,dga
cecamu.com,6,2.2516291673878226,legit
cxyecd05abz19de8y24qcp4.xyz,23,3.9690016298759927,dga
tvfdg0lks9l.info,11,3.2776134368191157,dga
jimyq45h8m5.info,11,3.095795255000934,dga
fila.net,4,2.0,legit
focumibe.org,8,3.0,legit
didelebuci.net,10,2.721928094887362,legit
u0mnf6x4q6h3bay.info,15,3.773557262275186,dga
mame.com,4,1.5,legit
fktcnujfpwz6dtql.xyz,16,3.75,dga
micololofa.net,10,2.6464393446710157,legit
celuli.net,6,2.2516291673878226,legit
er04h5w21bksm4w2o6ov3i.info,22,4.095795255000934,dga
dobafi.info,6,2.584962500721156,legit
dibedoba.org,8,2.5,legit
lw87w211q5.top,10,2.9219280948873623,dga
leledo.org,6,1.9182958340544896,legit
7apyv45qsh0anzxwideteh.site,22,4.186704345910025,dga
dili.com,4,1.5,legit
lofudoma.org,8,2.75,legit
melocude.info,8,2.75,legit
vq2rpuvn3vbi.info,12,3.188721875540867,dga
defadimicu.net,10,2.9219280948873623,legit
s8ioijdqfrr5rni7he0x.info,20,3.846439344671016,dga
ytzxi9clqk65v.xyz,13,3.7004397181410926,dga
mucecidu.net,8,2.5,legit
gbodaigu1okfmx8.site,15,3.640223928941852,dga
7p45ru4ofq.info,10,3.1219280948873624,dga
mifalodado.info,10,2.721928094887362,legit
72urmspvpxo3uhp20xf.info,19,3.6818808028034025,dga
dmz586ek26y9yzrnl.info,17,3.7345216647797512,dga
knmic1f1mjquefy9z9.top,18,3.7254805569978675,dga
loci.org,4,2.0,legit
kzeoy3fw3383gflgz1.info,18,3.3921472236645345,dga
babifafaco.org,10,2.4464393446710155,legit
balebililu.com,10,2.4464393446710155,legit
lole.net,4,1.5,legit
daculolalu.info,10,2.4464393446710155,legit
ml8wu3r9ke7j.top,12,3.584962500721156,dga
ljcn17rugwskhsr52.info,17,3.85216872360328,dga
fafocicole.org,10,2.721928094887362,legit
vpine9nnovjarji8qlhbiaw.top,23,3.8492239123906247,dga
bilico.info,6,2.2516291673878226,legit
98egvs9voqbael21kim7t5.xyz,22,4.186704345910025,dga
bolu.com,4,2.0,legit
mudo.com,4,2.0,legit
bumobu.com,6,1.9182958340544896,legit
z47od5q0tvjcu0arn9585.info,21,4.070656113151928,dga
locamibu.com,8,3.0,legit
dufulo.info,6,2.2516291673878226,legit
fice.info,4,2.0,legit
ar0omnel25u3p1zcyuz87.top,21,4.20184123230257,dga
qx9r4iyjcujf63y.site,15,3.640223928941852,dga
cucabu.org,6,1.9182958340544896,legit
fomacimabi.com,10,2.721928094887362,legit
liba.org,4,2.0,legit
leba.net,4,2.0,legit
lcsxu1hgca.info,10,3.1219280948873624,dga
keqbz78qemmm3ofi.site,16,3.452819531114783,dga
dicolomedu.com,10,2.9219280948873623,legit
0b6td5n89shp.xyz,12,3.584962500721156,dga
focude.com,6,2.584962500721156,legit
mpxpmfb0ba.info,10,2.721928094887362,dga
